symbol,date,time,open,high,low,close,volume
TSLA,2026-02-13,09:38:00,414.46,415.34,414,414.965,164273
TSLA,2026-02-13,09:39:00,415.05,415.21,413.4,413.4959,209375
TSLA,2026-02-13,09:40:00,413.545,413.7,412.29,412.524,344249
TSLA,2026-02-13,09:41:00,412.605,412.89,411.81,412.01,277928
TSLA,2026-02-13,09:42:00,412,412.07,410.88,411.285,365159
TSLA,2026-02-13,09:43:00,411.35,413.4,411.29,413.13,265667
TSLA,2026-02-13,09:44:00,413.155,414.13,412.41,413.85,263079
TSLA,2026-02-13,09:45:00,413.8,416.3,413.58,416.2853,318003
TSLA,2026-02-13,09:46:00,416.23,416.99,415.33,415.33,396069
TSLA,2026-02-13,09:47:00,415.34,415.91,414.39,415.535,279903
TSLA,2026-02-13,09:48:00,415.58,416.34,415.4,415.945,165158
TSLA,2026-02-13,09:49:00,416.08,416.46,414.627,414.815,197128
TSLA,2026-02-13,09:50:00,414.74,414.92,412.5,413.24,263537
TSLA,2026-02-13,09:51:00,413.24,414.185,412.7,413.88,185462
TSLA,2026-02-13,09:52:00,413.97,414.1799,412.6,413.37,141082
TSLA,2026-02-13,09:53:00,413.39,415.56,413.3401,414.38,231770
TSLA,2026-02-13,09:54:00,414.46,415.72,414.15,414.15,148661
TSLA,2026-02-13,09:55:00,414.16,416.25,414.15,415.6901,168407
TSLA,2026-02-13,09:56:00,415.685,415.94,412.9,412.96,194161
TSLA,2026-02-13,09:57:00,412.9,413.6399,412.75,412.8193,167597
TSLA,2026-02-13,09:58:00,412.78,413.85,412.77,413.5901,149377
TSLA,2026-02-13,09:59:00,413.5301,413.84,413.28,413.515,139848
TSLA,2026-02-17,09:30:00,412.36,413.72,409.11,409.25,793223
TSLA,2026-02-17,09:31:00,409.26,409.88,408.02,409.21,476822
TSLA,2026-02-17,09:32:00,409.265,409.57,407.41,408.205,384299
TSLA,2026-02-17,09:33:00,408.15,408.56,407.53,408.37,240249
TSLA,2026-02-17,09:34:00,408.41,409.6,407.85,409.3624,284585
TSLA,2026-02-17,09:35:00,409.35,410.9,408.57,410.77,336367
TSLA,2026-02-17,09:36:00,410.76,411.8,410.35,410.6375,360908
TSLA,2026-02-17,09:37:00,410.6844,412.4299,410.47,412.2393,256846
TSLA,2026-02-17,09:38:00,412.24,412.45,411.21,411.49,183862
TSLA,2026-02-17,09:39:00,411.52,412.76,411.0995,412.4,193673
TSLA,2026-02-17,09:40:00,412.37,412.9899,411.83,412.38,205049
TSLA,2026-02-17,09:41:00,412.365,412.93,412,412.485,114664
TSLA,2026-02-17,09:42:00,412.54,412.9,411.22,411.36,202492
TSLA,2026-02-17,09:43:00,411.2701,411.655,409.1,409.305,333585
TSLA,2026-02-17,09:44:00,409.295,409.84,408.89,409.345,277229
TSLA,2026-02-17,09:45:00,409.4,409.5,408.33,408.4795,263888
TSLA,2026-02-17,09:46:00,408.46,410.28,408.26,409.74,328873
TSLA,2026-02-17,09:47:00,409.74,409.89,407.48,407.59,270204
TSLA,2026-02-17,09:48:00,407.55,408.6999,407.49,407.985,236183
TSLA,2026-02-17,09:49:00,408.01,408.7,407.72,408.68,203532
TSLA,2026-02-17,09:50:00,408.56,408.74,405.7,406.13,562395
TSLA,2026-02-17,09:51:00,406.07,406.47,405.55,405.85,321598
TSLA,2026-02-17,09:52:00,405.85,406.15,405.28,405.455,259069
TSLA,2026-02-17,09:53:00,405.45,405.75,404.04,404.36,459154
TSLA,2026-02-17,09:54:00,404.4,404.5,403.634,403.87,306653
TSLA,2026-02-17,09:55:00,403.86,404.2,403.47,403.95,285315
TSLA,2026-02-17,09:56:00,403.98,404.88,403.98,404.57,402441
TSLA,2026-02-17,09:57:00,404.525,405.17,403.33,403.69,351447
TSLA,2026-02-17,09:58:00,403.66,403.84,403.1,403.175,257834
TSLA,2026-02-17,09:59:00,403.18,403.54,402.65,403.15,393337
TSLA,2026-02-18,09:30:00,411.11,412.03,409.73,411.835,439623
TSLA,2026-02-18,09:31:00,411.7,413.51,410.14,413.385,282415
TSLA,2026-02-18,09:32:00,413.45,413.53,410.03,411.1401,297796
TSLA,2026-02-18,09:33:00,411.32,414.0972,410.14,412.82,356360
TSLA,2026-02-18,09:34:00,412.75,412.87,410.14,411.1099,204309
TSLA,2026-02-18,09:35:00,411.04,411.93,410.14,411.055,183514
TSLA,2026-02-18,09:36:00,411.055,411.57,410.14,410.7499,179850
TSLA,2026-02-18,09:37:00,410.72,411.3299,410.08,410.5051,171903
TSLA,2026-02-18,09:38:00,410.6288,412.22,410.14,411.7571,212214
TSLA,2026-02-18,09:39:00,411.79,411.9626,409.86,410.27,205493
TSLA,2026-02-18,09:40:00,410.2782,411.31,409.58,410.69,224213
TSLA,2026-02-18,09:41:00,410.61,411.64,410.2,411.23,262468
TSLA,2026-02-18,09:42:00,411.23,412.12,410.7,411.765,182340
TSLA,2026-02-18,09:43:00,411.66,412.2699,411.49,411.98,156039
TSLA,2026-02-18,09:44:00,411.87,411.9999,410.58,411.3,180535
TSLA,2026-02-18,09:45:00,411.3,412.8199,411.2076,412.514,230959
TSLA,2026-02-18,09:46:00,412.62,412.97,411.73,411.94,165518
TSLA,2026-02-18,09:47:00,412,412.39,411.61,412.11,164018
TSLA,2026-02-18,09:48:00,412.105,412.1699,410.66,411.42,204426
TSLA,2026-02-18,09:49:00,411.465,411.5699,410.28,410.35,164909
TSLA,2026-02-18,09:50:00,410.3358,411.0358,410.28,410.45,144285
TSLA,2026-02-18,09:51:00,410.45,410.7,410.13,410.63,152057
TSLA,2026-02-18,09:52:00,410.6376,411.77,410.44,411.2076,180362
TSLA,2026-02-18,09:53:00,411.18,411.2,410.4,410.8,78851
TSLA,2026-02-18,09:54:00,410.76,411.8,410.4716,411.54,153082
TSLA,2026-02-18,09:55:00,411.4201,411.6399,411.2,411.28,103566
TSLA,2026-02-18,09:56:00,411.25,411.92,411.21,411.7,118806
TSLA,2026-02-18,09:57:00,411.76,412.49,411.745,412.31,199610
TSLA,2026-02-18,09:58:00,412.33,413.1,412.24,412.9725,206047
TSLA,2026-02-18,09:59:00,412.98,413.15,412.3,412.54,168978
TSLA,2026-02-19,09:30:00,407.25,407.43,405.43,406.02,528037
TSLA,2026-02-19,09:31:00,406.04,406.33,404.46,405.5401,383432
TSLA,2026-02-19,09:32:00,405.6186,406.32,404.735,404.76,256580
TSLA,2026-02-19,09:33:00,404.785,406.78,404.51,406.57,332576
TSLA,2026-02-19,09:34:00,406.6219,406.89,405.78,405.895,215663
TSLA,2026-02-19,09:35:00,405.935,406,404.86,405.145,234534
TSLA,2026-02-19,09:36:00,405.12,405.2288,404.11,404.28,342645
TSLA,2026-02-19,09:37:00,404.315,405.63,404.17,405.575,260546
TSLA,2026-02-19,09:38:00,405.5715,405.82,404.64,405.19,214662
TSLA,2026-02-19,09:39:00,405.19,406.35,405.1384,405.28,237968
